checkpoint,precision,recall,F1
1,0.4655858597682313,0.44246064853440126,0.45372878939113076
2,0.47655835348233766,0.4494688247399744,0.4626173574536295
3,0.4823181549379066,0.4536403581956727,0.46753991229327296
4,0.48414951502247455,0.4553089715779521,0.469286553730616
5,0.48744881609400037,0.4568663440680794,0.471662360034453
6,0.4884508045840508,0.45753378942099115,0.4724870763928777
7,0.4896650035637919,0.45853495745035877,0.4735889702714347
8,0.49080083358142307,0.4584793370042828,0.4740898372347156
9,0.49085819784408313,0.4584237165582068,0.47408685648547594
10,0.4912823564415353,0.45920240280327046,0.4747010119595216
11,0.4909231593357538,0.45875743923466267,0.4742955721679126
12,0.4903141205221434,0.45753378942099115,0.47335711819541954
13,0.493594708931657,0.46075977529339784,0.4766123928427593
14,0.49407138175534765,0.4612047388620057,0.47707266555434097
15,0.49187548360216654,0.4596473663718783,0.47521564117308795
16,0.49205120571598693,0.4596473663718783,0.47529763616495085
17,0.49071870537839124,0.45875743923466267,0.47420013223330554
18,0.4923800452434814,0.46003670949441017,0.4756592000460074
19,0.49279847637186047,0.46053729350909395,0.47612202064345477
