checkpoint,precision,recall,F1
1,0.06384290814670561,0.043050053621063226,0.05142416439000797
2,0.08802308802308802,0.06274758705215469,0.0732667194807186
3,0.1103343645882913,0.08117927728774979,0.09353760796923272
4,0.12861271676300579,0.09740401873659327,0.11085369802954438
5,0.14589951109024113,0.11560769550657708,0.12899916963805988
6,0.16200798630918425,0.1305461311152457,0.1445853232805644
7,0.1729001418290697,0.14408912819839342,0.1571853249125488
8,0.18634057499674775,0.1567485938149745,0.17026840691343936
9,0.18995982946003895,0.16869843076316998,0.17869893819260907
10,0.20269371876000294,0.18017071569271176,0.1907697299051018
11,0.2116165321594522,0.18939327613377693,0.19988911732772763
12,0.21875457875457877,0.1960689896690597,0.2067914771809137
13,0.22767629101700274,0.20484986430885058,0.2156607490524521
14,0.23140336032878037,0.20950338155792422,0.2199094814712707
15,0.23896758703481394,0.21784713710383471,0.22791911882571161
16,0.24013385920879646,0.21985862167071543,0.22954940133443014
17,0.24374808132807518,0.22590387814059354,0.23448698872090776
18,0.24731005191127892,0.22937365956143038,0.23800440538637965
19,0.24847164640573396,0.23217334208798424,0.2400461627236007
20,0.25236593059936907,0.2381056593863527,0.2450284890660541
21,0.2518793524881243,0.23905716536811697,0.24530081519908375
22,0.26068929774552996,0.24217091585512637,0.2510891268832819
23,0.26575381074288934,0.24762550881953868,0.256369589106275
24,0.2651801431756836,0.24722100656455143,0.25588585017835913
25,0.26599459862171726,0.25003282706701097,0.2577668479119193
26,0.2691406703003595,0.2539446328920013,0.26132192320684605
27,0.2708752922656666,0.2560786116035279,0.26326920913488583
28,0.2751038982145759,0.2593573523617739,0.2669986592606781
29,0.27466574458275705,0.2608077049359746,0.2675574018974906
30,0.2785420802363695,0.2641232735789174,0.27114112056084216
31,0.2785510841602352,0.265430747679916,0.2718326907558504
32,0.28034408800535043,0.266053841103086,0.27301209419321515
33,0.2821164457265838,0.26968111881989887,0.27575866081818995
34,0.2832654369020918,0.27087300024073707,0.27693064987078664
35,0.2872357704712625,0.2709345589844605,0.27884712852106724
36,0.28571100390535265,0.272209941123684,0.27879711720597633
37,0.29434049970947124,0.27720865073110934,0.2855178166815092
38,0.2887400142735456,0.27452611303243885,0.2814537212616272
39,0.29155395250976857,0.2759782894160903,0.2835523874841191
40,0.2950739943027861,0.2788941423693197,0.28675601769015224
41,0.2954255935147655,0.27918226191257905,0.2870743399878463
42,0.2936486051748702,0.279701453335668,0.28650539201399006
43,0.29697793338554385,0.2821781094745136,0.28938892318051734
44,0.29311887662620745,0.2796139029942217,0.28620716694111187
45,0.29868749422312596,0.2829189283838207,0.2905894519131334
46,0.3004655687582517,0.2838946884643162,0.29194517588278984
47,0.3024032662150877,0.2852890970368101,0.29359699105875997
48,0.29991444888899166,0.2839038697250919,0.2916896229915559
49,0.30423372581806357,0.2866771708683473,0.2951946369218635
