checkpoint,precision,recall,F1
1,0.07750588934400136,0.05298666627976147,0.06294272763309837
2,0.11223877011770358,0.08136227762138318,0.09433835282241104
3,0.13717263444259248,0.10389007385481508,0.11823375937118134
4,0.15965811333321,0.12522854572365558,0.14036286158074932
5,0.1844016070178025,0.14518914056038423,0.16246275745053945
6,0.21293189605939464,0.17312631502575637,0.19097697423707652
7,0.2315506423662982,0.19118863461566368,0.2094428105873937
8,0.24211750222283018,0.20547647033215793,0.2222972283491762
9,0.2605972943078363,0.22220287583975393,0.23987343754894894
10,0.26883043463802336,0.23459082994776553,0.25054624908958484
11,0.27567594253459937,0.24308205760719728,0.2583550531299641
12,0.27957128099173556,0.25133138885261125,0.26470026363045884
13,0.28858275391513416,0.2577705546042894,0.2723078102245727
14,0.2941422325102881,0.2654885232581759,0.2790818271943873
15,0.29252217997465146,0.26792036682337916,0.27968129903965583
16,0.29960099829907644,0.27352151512952616,0.28596789366673747
17,0.3055129189050908,0.27733348814932,0.29074199462885053
18,0.30032049267894173,0.27741336274452894,0.2884127942063971
19,0.30337308454737105,0.27981658032591816,0.29111907907152285
20,0.30998795486243186,0.28383810532731574,0.29633725995227456
21,0.3127522514680046,0.2867841281820557,0.2992058024121196
22,0.31451294132528024,0.288657998606919,0.301031333469533
23,0.3133468356020285,0.28962835043317997,0.30102110073754546
24,0.31524381636526183,0.29164490103894597,0.3029855358663783
25,0.31644895529868744,0.2931897665104265,0.3043756638068049
26,0.31822383780141955,0.29470659933832494,0.3060140576620285
27,0.31755374791175506,0.2951316839584996,0.30593243283896393
28,0.3207156517203774,0.2944240507247428,0.3070079883805374
29,0.32270646891366916,0.29776365245911157,0.3097337117323833
30,0.3188256903583326,0.29720670391061454,0.3076368497337729
31,0.32221110868002373,0.29914393499709807,0.3102493491640708
32,0.3188980664831148,0.2975039907125236,0.30782975592543377
33,0.321724245253657,0.29996662845867006,0.3104647059265211
34,0.3218273952891864,0.2986112118881423,0.30978494057073175
35,0.3205024688674265,0.2995052019095434,0.309648287190873
36,0.32423555173222807,0.30079661041542727,0.3120765965134134
37,0.32603032110235725,0.3014656798722972,0.31326718340018705
38,0.3222501600787119,0.2993992861081285,0.3104047416678576
39,0.32628865979381444,0.3031301243633092,0.3142833500086511
40,0.32408372889269316,0.3021298821890778,0.31272197568685756
41,0.32392905781849696,0.3037351985140469,0.3135072793721167
42,0.3261740137033445,0.3025786884532223,0.31393361789260527
43,0.3293056581242242,0.30410935051366883,0.3162063684849765
44,0.328005515858092,0.30380261248185775,0.31544048946622866
45,0.3270652698432465,0.3048828266705362,0.3155847276878248
46,0.33031709566005596,0.3067189087215208,0.3180809198100784
47,0.3307571964956195,0.30681933620677143,0.3183388919421503
48,0.3297386846711678,0.3061496938212845,0.3175066592424265
49,0.3292080372688344,0.3045888601863408,0.3164202956452257
