checkpoint,precision,recall,F1
1,0.051295506723515905,0.03378845489111649,0.040740837218995025
2,0.07137399719852286,0.04843797260510738,0.05771062318206389
3,0.08028474156607861,0.05605739724251199,0.06601852794461978
4,0.0872566371681416,0.06390701291967334,0.07377846506871524
5,0.09928491223922936,0.07259214449293523,0.08386581469648563
6,0.10881934566145092,0.07933970009939069,0.0917701746932247
7,0.1158652461848546,0.08694524869279634,0.0993433071643707
8,0.12445193929173694,0.09567434423750054,0.10818206249541913
9,0.13123824277968352,0.10249319448645379,0.11509813911735449
10,0.13612986178077788,0.10980510781729398,0.12155859066663477
11,0.14015463917525772,0.11749200587676087,0.12782661840063936
12,0.1499502435447546,0.12370911290671045,0.1355715503362061
13,0.15583550980693398,0.13148684267381067,0.14262948207171314
14,0.16129032258064516,0.13762260726785638,0.1485194684075542
15,0.16722766217870258,0.14169043297899922,0.15340350877192985
16,0.16908667426532534,0.14744393068579578,0.15752539242843952
17,0.16880393973377542,0.14959813326419497,0.1586217956060571
18,0.17504637313287122,0.15494966080456293,0.16438607348323364
19,0.1746495327102804,0.15502938126512272,0.16425563083684308
20,0.17974426038942168,0.16034393363290703,0.16949075131308516
21,0.18379322050337035,0.16375734531628067,0.17319776076773674
22,0.18394869618522186,0.16854612227262908,0.17591089466089468
23,0.18906956605407485,0.16980642931213275,0.17892101069883906
24,0.19206831668837748,0.17201745668236615,0.18149076817870982
25,0.1915113385604958,0.1762215405884132,0.183548575799847
26,0.19641751226716211,0.17815322127641187,0.18684007794444193
27,0.19467030126427598,0.17898193760262726,0.1864967694004818
28,0.1994589047485773,0.18476429157844704,0.19183060048002512
29,0.20105248320255603,0.18487794340030245,0.1926262717205366
30,0.20582697919608398,0.18896378878230058,0.19703523474813014
31,0.2065707839819515,0.1898898250162022,0.1978793813736746
32,0.2111400167239617,0.19637919115105426,0.20349227669576897
33,0.21231552642746004,0.19455605962410888,0.20304820309329485
34,0.21506283999249673,0.19817639687135388,0.20627459799842576
35,0.21425263937766253,0.19991358824800173,0.20683489416865966
36,0.22272296015180265,0.20281653635146227,0.2123041443396866
37,0.2210317647614103,0.2023418596612513,0.21127427759355755
38,0.22154423844168036,0.20393173471592135,0.2123734533183352
39,0.22034212600250336,0.20536640165917733,0.2125908531812591
40,0.2254391672088484,0.2095464362850972,0.2172024715680129
41,0.22385082796048053,0.20852957697791988,0.21591875083888862
42,0.2266827368811422,0.21125847842052967,0.21869898700775958
43,0.22700596056854655,0.21386609071274298,0.22024021352313167
44,0.23019286804495628,0.21499848805563956,0.2223363859727496
45,0.23187137197088362,0.21744577896828826,0.22442700436992777
46,0.23197623137273107,0.2158717815794021,0.2236344514310009
47,0.23629725482946667,0.22093073499546298,0.228355775887095
48,0.23332720080949315,0.21923076923076923,0.226059444766276
49,0.23939846814870167,0.2214637518361704,0.23008214013196282
