checkpoint,precision,recall,F1
1,0.05619055928802024,0.03698067702202188,0.0446052882201174
2,0.0725919801570897,0.050417755318843495,0.05950626069570817
3,0.08662582740615878,0.060500775282834665,0.07124380801027913
4,0.10268852972253747,0.07534600585769252,0.08691763692674605
5,0.11615908828398722,0.08663316582914572,0.09924668574624164
6,0.12640787315472937,0.09958077298570034,0.11140200125279066
7,0.1357630979498861,0.11124192390524049,0.12228535353535354
8,0.15317379198533818,0.12478823900996354,0.13753164556962025
9,0.16628448335765408,0.13742211502569845,0.15048185005266548
10,0.17502468253157663,0.14761959455579166,0.16015825791678998
11,0.18364166832438167,0.15905697220307835,0.17046748530452713
12,0.1948793697685869,0.1704369294367572,0.18184045697483883
13,0.19931428571428572,0.17525122021246053,0.18650981590405624
14,0.20851499537587528,0.18126220282531297,0.19393585647579256
15,0.21369194723497129,0.19114058507736917,0.2017881497196545
16,0.22112951276548035,0.19819121447028423,0.2090329613759898
17,0.2218801055674249,0.20274460266421682,0.21188118811881188
18,0.23116742886178862,0.2089865058857307,0.2195180795560783
19,0.23383475175077725,0.21371986222732492,0.22332528530510026
20,0.23542203858460964,0.21756481295397778,0.2261414503133393
21,0.23632055148642828,0.22045187035282635,0.22811056485511017
22,0.24452169594636539,0.22609993398961054,0.23495026915793085
23,0.24684192557186754,0.2282786532334453,0.23719764979569927
24,0.2524217411618128,0.23261287637417835,0.24211281070745697
25,0.25198186248804716,0.23445168326493127,0.2429008950075823
26,0.2517048596178657,0.2351961881799133,0.24317065570608226
27,0.2590634910764256,0.23913667412892486,0.2487015700555191
28,0.2598267410672997,0.24190585533869116,0.25054624908958484
29,0.2574097742072911,0.24280260627457734,0.24989291147841244
30,0.26358527849820923,0.24503444316877152,0.25397155946926875
31,0.2625187820060716,0.24572330654420207,0.2538435308594387
32,0.2676268271711092,0.25010044194455605,0.25856697819314645
33,0.2698019044119898,0.2528768617097598,0.26106535521715946
34,0.27113478234098887,0.25270437003242374,0.2615953544324477
35,0.2713435012456705,0.25632121229515253,0.2636185191197958
36,0.27263318112633184,0.25703133968545516,0.26460247584719476
37,0.27671140321243204,0.2585959474197807,0.2673471507202943
38,0.27880283863005245,0.25934961683074537,0.2687246286300575
39,0.2771253393527133,0.26073355527493974,0.26867966936282844
40,0.2793636224567845,0.26200860832137735,0.2704079366254534
41,0.2808875901744133,0.2648375617035932,0.2726265565682379
42,0.28331094284318514,0.266347092255583,0.27456724367509994
43,0.28463823142166017,0.2668427246892672,0.275453360199123
44,0.28793654697491394,0.268844365348183,0.27806311789329935
45,0.2871992417988933,0.2696635664255368,0.27815530387149306
46,0.2904184204010894,0.2693223890020951,0.2794728612910431
47,0.2932198142414861,0.27185831563235546,0.28213530340492715
48,0.29206193769508537,0.27395372868706586,0.28271817050773157
49,0.2921121769414065,0.27447828458248413,0.2830208225422149
