checkpoint,precision,recall,F1
1,0.5333333333333333,0.5333333333333333,0.5333333333333333
2,0.6,0.6,0.6
3,0.6533333333333333,0.6533333333333333,0.6533333333333333
4,0.6533333333333333,0.6533333333333333,0.6533333333333333
5,0.72,0.72,0.72
6,0.64,0.64,0.64
7,0.6666666666666666,0.6666666666666666,0.6666666666666666
8,0.6533333333333333,0.6533333333333333,0.6533333333333333
9,0.6133333333333333,0.6133333333333333,0.6133333333333333
10,0.64,0.64,0.64
11,0.7333333333333333,0.7333333333333333,0.7333333333333333
12,0.6533333333333333,0.6533333333333333,0.6533333333333333
13,0.72,0.72,0.72
14,0.6666666666666666,0.6666666666666666,0.6666666666666666
15,0.7466666666666667,0.7466666666666667,0.7466666666666667
16,0.6666666666666666,0.6666666666666666,0.6666666666666666
17,0.6133333333333333,0.6133333333333333,0.6133333333333333
18,0.8133333333333334,0.8133333333333334,0.8133333333333334
19,0.6666666666666666,0.6666666666666666,0.6666666666666666
20,0.7333333333333333,0.7333333333333333,0.7333333333333333
21,0.64,0.64,0.64
22,0.7333333333333333,0.7333333333333333,0.7333333333333333
23,0.68,0.68,0.68
24,0.68,0.68,0.68
25,0.6933333333333334,0.6933333333333334,0.6933333333333334
26,0.7466666666666667,0.7466666666666667,0.7466666666666667
27,0.7333333333333333,0.7333333333333333,0.7333333333333333
28,0.6933333333333334,0.6933333333333334,0.6933333333333334
29,0.7066666666666667,0.7066666666666667,0.7066666666666667
30,0.7066666666666667,0.7066666666666667,0.7066666666666667
31,0.68,0.68,0.68
32,0.6666666666666666,0.6666666666666666,0.6666666666666666
33,0.6533333333333333,0.6533333333333333,0.6533333333333333
34,0.6666666666666666,0.6666666666666666,0.6666666666666666
35,0.68,0.68,0.68
36,0.72,0.72,0.72
37,0.6666666666666666,0.6666666666666666,0.6666666666666666
38,0.6266666666666667,0.6266666666666667,0.6266666666666667
39,0.7333333333333333,0.7333333333333333,0.7333333333333333
40,0.7466666666666667,0.7466666666666667,0.7466666666666667
41,0.7066666666666667,0.7066666666666667,0.7066666666666667
42,0.6533333333333333,0.6533333333333333,0.6533333333333333
43,0.68,0.68,0.68
44,0.6666666666666666,0.6666666666666666,0.6666666666666666
45,0.6666666666666666,0.6666666666666666,0.6666666666666666
46,0.76,0.76,0.76
47,0.76,0.76,0.76
48,0.64,0.64,0.64
49,0.6933333333333334,0.6933333333333334,0.6933333333333334
50,0.6666666666666666,0.6666666666666666,0.6666666666666666
51,0.7333333333333333,0.7333333333333333,0.7333333333333333
52,0.6666666666666666,0.6666666666666666,0.6666666666666666
53,0.72,0.72,0.72
54,0.68,0.68,0.68
55,0.68,0.68,0.68
56,0.6533333333333333,0.6533333333333333,0.6533333333333333
57,0.68,0.68,0.68
58,0.7333333333333333,0.7333333333333333,0.7333333333333333
59,0.72,0.72,0.72
60,0.7333333333333333,0.7333333333333333,0.7333333333333333
61,0.68,0.68,0.68
62,0.6533333333333333,0.6533333333333333,0.6533333333333333
63,0.68,0.68,0.68
64,0.6666666666666666,0.6666666666666666,0.6666666666666666
65,0.6666666666666666,0.6666666666666666,0.6666666666666666
66,0.64,0.64,0.64
67,0.64,0.64,0.64
68,0.64,0.64,0.64
69,0.6266666666666667,0.6266666666666667,0.6266666666666667
70,0.6266666666666667,0.6266666666666667,0.6266666666666667
71,0.6533333333333333,0.6533333333333333,0.6533333333333333
72,0.6533333333333333,0.6533333333333333,0.6533333333333333
73,0.6666666666666666,0.6666666666666666,0.6666666666666666
74,0.6666666666666666,0.6666666666666666,0.6666666666666666
75,0.68,0.68,0.68
76,0.64,0.64,0.64
77,0.6666666666666666,0.6666666666666666,0.6666666666666666
78,0.6533333333333333,0.6533333333333333,0.6533333333333333
79,0.6266666666666667,0.6266666666666667,0.6266666666666667
80,0.6933333333333334,0.6933333333333334,0.6933333333333334
81,0.6266666666666667,0.6266666666666667,0.6266666666666667
82,0.64,0.64,0.64
83,0.6666666666666666,0.6666666666666666,0.6666666666666666
84,0.6266666666666667,0.6266666666666667,0.6266666666666667
85,0.6133333333333333,0.6133333333333333,0.6133333333333333
86,0.68,0.68,0.68
87,0.6266666666666667,0.6266666666666667,0.6266666666666667
88,0.7333333333333333,0.7333333333333333,0.7333333333333333
89,0.6533333333333333,0.6533333333333333,0.6533333333333333
90,0.72,0.72,0.72
91,0.6133333333333333,0.6133333333333333,0.6133333333333333
92,0.72,0.72,0.72
93,0.6533333333333333,0.6533333333333333,0.6533333333333333
94,0.7333333333333333,0.7333333333333333,0.7333333333333333
95,0.6533333333333333,0.6533333333333333,0.6533333333333333
96,0.6666666666666666,0.6666666666666666,0.6666666666666666
97,0.6133333333333333,0.6133333333333333,0.6133333333333333
98,0.64,0.64,0.64
99,0.7333333333333333,0.7333333333333333,0.7333333333333333
