checkpoint,precision,recall,F1
1,0.5733333333333334,0.5733333333333334,0.5733333333333334
2,0.5866666666666667,0.5866666666666667,0.5866666666666667
3,0.5866666666666667,0.5866666666666667,0.5866666666666667
4,0.6533333333333333,0.6533333333333333,0.6533333333333333
5,0.5333333333333333,0.5333333333333333,0.5333333333333333
6,0.56,0.56,0.56
7,0.6133333333333333,0.6133333333333333,0.6133333333333333
8,0.64,0.64,0.64
9,0.64,0.64,0.64
10,0.7066666666666667,0.7066666666666667,0.7066666666666667
11,0.52,0.52,0.52
12,0.64,0.64,0.64
13,0.6533333333333333,0.6533333333333333,0.6533333333333333
14,0.64,0.64,0.64
15,0.6266666666666667,0.6266666666666667,0.6266666666666667
16,0.6933333333333334,0.6933333333333334,0.6933333333333334
17,0.68,0.68,0.68
18,0.6533333333333333,0.6533333333333333,0.6533333333333333
19,0.6933333333333334,0.6933333333333334,0.6933333333333334
20,0.6666666666666666,0.6666666666666666,0.6666666666666666
21,0.6,0.6,0.6
22,0.6266666666666667,0.6266666666666667,0.6266666666666667
23,0.6266666666666667,0.6266666666666667,0.6266666666666667
24,0.6533333333333333,0.6533333333333333,0.6533333333333333
25,0.6266666666666667,0.6266666666666667,0.6266666666666667
26,0.6666666666666666,0.6666666666666666,0.6666666666666666
27,0.7066666666666667,0.7066666666666667,0.7066666666666667
28,0.6,0.6,0.6
29,0.6533333333333333,0.6533333333333333,0.6533333333333333
30,0.56,0.56,0.56
31,0.6666666666666666,0.6666666666666666,0.6666666666666666
32,0.68,0.68,0.68
33,0.5733333333333334,0.5733333333333334,0.5733333333333334
34,0.5866666666666667,0.5866666666666667,0.5866666666666667
35,0.5866666666666667,0.5866666666666667,0.5866666666666667
36,0.68,0.68,0.68
37,0.5866666666666667,0.5866666666666667,0.5866666666666667
38,0.68,0.68,0.68
39,0.6533333333333333,0.6533333333333333,0.6533333333333333
40,0.6266666666666667,0.6266666666666667,0.6266666666666667
41,0.6666666666666666,0.6666666666666666,0.6666666666666666
42,0.5733333333333334,0.5733333333333334,0.5733333333333334
43,0.5866666666666667,0.5866666666666667,0.5866666666666667
44,0.6266666666666667,0.6266666666666667,0.6266666666666667
45,0.6533333333333333,0.6533333333333333,0.6533333333333333
46,0.6,0.6,0.6
47,0.6666666666666666,0.6666666666666666,0.6666666666666666
48,0.64,0.64,0.64
49,0.6133333333333333,0.6133333333333333,0.6133333333333333
50,0.5866666666666667,0.5866666666666667,0.5866666666666667
51,0.6266666666666667,0.6266666666666667,0.6266666666666667
52,0.64,0.64,0.64
53,0.68,0.68,0.68
54,0.6266666666666667,0.6266666666666667,0.6266666666666667
55,0.5866666666666667,0.5866666666666667,0.5866666666666667
56,0.64,0.64,0.64
57,0.6133333333333333,0.6133333333333333,0.6133333333333333
58,0.5733333333333334,0.5733333333333334,0.5733333333333334
59,0.6666666666666666,0.6666666666666666,0.6666666666666666
60,0.6533333333333333,0.6533333333333333,0.6533333333333333
61,0.64,0.64,0.64
62,0.64,0.64,0.64
63,0.6266666666666667,0.6266666666666667,0.6266666666666667
64,0.68,0.68,0.68
65,0.6666666666666666,0.6666666666666666,0.6666666666666666
66,0.6133333333333333,0.6133333333333333,0.6133333333333333
67,0.6533333333333333,0.6533333333333333,0.6533333333333333
68,0.5866666666666667,0.5866666666666667,0.5866666666666667
69,0.64,0.64,0.64
70,0.5866666666666667,0.5866666666666667,0.5866666666666667
71,0.6,0.6,0.6
72,0.6533333333333333,0.6533333333333333,0.6533333333333333
73,0.56,0.56,0.56
74,0.64,0.64,0.64
75,0.6666666666666666,0.6666666666666666,0.6666666666666666
76,0.68,0.68,0.68
77,0.68,0.68,0.68
78,0.68,0.68,0.68
79,0.64,0.64,0.64
80,0.6933333333333334,0.6933333333333334,0.6933333333333334
81,0.56,0.56,0.56
82,0.64,0.64,0.64
83,0.56,0.56,0.56
84,0.6666666666666666,0.6666666666666666,0.6666666666666666
85,0.5866666666666667,0.5866666666666667,0.5866666666666667
86,0.6666666666666666,0.6666666666666666,0.6666666666666666
87,0.6266666666666667,0.6266666666666667,0.6266666666666667
88,0.5866666666666667,0.5866666666666667,0.5866666666666667
89,0.6266666666666667,0.6266666666666667,0.6266666666666667
90,0.5733333333333334,0.5733333333333334,0.5733333333333334
91,0.6666666666666666,0.6666666666666666,0.6666666666666666
92,0.5733333333333334,0.5733333333333334,0.5733333333333334
93,0.6533333333333333,0.6533333333333333,0.6533333333333333
94,0.68,0.68,0.68
95,0.6266666666666667,0.6266666666666667,0.6266666666666667
96,0.6133333333333333,0.6133333333333333,0.6133333333333333
97,0.5466666666666666,0.5466666666666666,0.5466666666666666
98,0.6133333333333333,0.6133333333333333,0.6133333333333333
99,0.64,0.64,0.64
