checkpoint,precision,recall,F1
1,,,
2,0.5733333333333334,0.5733333333333334,0.5733333333333334
3,0.7066666666666667,0.7066666666666667,0.7066666666666667
4,0.6,0.6,0.6
5,0.6266666666666667,0.6266666666666667,0.6266666666666667
6,0.56,0.56,0.56
7,0.68,0.68,0.68
8,0.56,0.56,0.56
9,0.6266666666666667,0.6266666666666667,0.6266666666666667
10,0.6933333333333334,0.6933333333333334,0.6933333333333334
11,0.6666666666666666,0.6666666666666666,0.6666666666666666
12,0.6666666666666666,0.6666666666666666,0.6666666666666666
13,0.6266666666666667,0.6266666666666667,0.6266666666666667
14,0.56,0.56,0.56
15,0.6533333333333333,0.6533333333333333,0.6533333333333333
16,0.72,0.72,0.72
17,0.6933333333333334,0.6933333333333334,0.6933333333333334
18,0.6133333333333333,0.6133333333333333,0.6133333333333333
19,0.6,0.6,0.6
20,0.6666666666666666,0.6666666666666666,0.6666666666666666
21,0.6533333333333333,0.6533333333333333,0.6533333333333333
22,0.6133333333333333,0.6133333333333333,0.6133333333333333
23,0.6266666666666667,0.6266666666666667,0.6266666666666667
24,0.72,0.72,0.72
25,0.7066666666666667,0.7066666666666667,0.7066666666666667
26,0.6533333333333333,0.6533333333333333,0.6533333333333333
27,0.64,0.64,0.64
28,0.6,0.6,0.6
29,0.6533333333333333,0.6533333333333333,0.6533333333333333
30,0.6533333333333333,0.6533333333333333,0.6533333333333333
31,0.64,0.64,0.64
32,0.68,0.68,0.68
33,0.68,0.68,0.68
34,0.6133333333333333,0.6133333333333333,0.6133333333333333
35,0.5866666666666667,0.5866666666666667,0.5866666666666667
36,0.6533333333333333,0.6533333333333333,0.6533333333333333
37,0.6933333333333334,0.6933333333333334,0.6933333333333334
38,0.6666666666666666,0.6666666666666666,0.6666666666666666
39,0.7066666666666667,0.7066666666666667,0.7066666666666667
40,0.6533333333333333,0.6533333333333333,0.6533333333333333
41,0.7066666666666667,0.7066666666666667,0.7066666666666667
42,0.6933333333333334,0.6933333333333334,0.6933333333333334
43,0.6933333333333334,0.6933333333333334,0.6933333333333334
44,0.6933333333333334,0.6933333333333334,0.6933333333333334
45,0.68,0.68,0.68
46,0.6133333333333333,0.6133333333333333,0.6133333333333333
47,0.6666666666666666,0.6666666666666666,0.6666666666666666
48,0.72,0.72,0.72
49,0.7333333333333333,0.7333333333333333,0.7333333333333333
50,0.68,0.68,0.68
51,0.6533333333333333,0.6533333333333333,0.6533333333333333
52,0.72,0.72,0.72
53,0.7066666666666667,0.7066666666666667,0.7066666666666667
54,0.68,0.68,0.68
55,0.6,0.6,0.6
56,0.7066666666666667,0.7066666666666667,0.7066666666666667
57,0.7466666666666667,0.7466666666666667,0.7466666666666667
58,0.7066666666666667,0.7066666666666667,0.7066666666666667
59,0.68,0.68,0.68
60,0.6666666666666666,0.6666666666666666,0.6666666666666666
61,0.8133333333333334,0.8133333333333334,0.8133333333333334
62,0.7066666666666667,0.7066666666666667,0.7066666666666667
63,0.68,0.68,0.68
64,0.7466666666666667,0.7466666666666667,0.7466666666666667
65,0.6533333333333333,0.6533333333333333,0.6533333333333333
66,0.68,0.68,0.68
67,0.6666666666666666,0.6666666666666666,0.6666666666666666
68,0.6533333333333333,0.6533333333333333,0.6533333333333333
69,0.6933333333333334,0.6933333333333334,0.6933333333333334
70,0.72,0.72,0.72
71,0.7333333333333333,0.7333333333333333,0.7333333333333333
72,0.6933333333333334,0.6933333333333334,0.6933333333333334
73,0.6933333333333334,0.6933333333333334,0.6933333333333334
74,0.6666666666666666,0.6666666666666666,0.6666666666666666
75,0.7066666666666667,0.7066666666666667,0.7066666666666667
76,0.64,0.64,0.64
77,0.72,0.72,0.72
78,0.68,0.68,0.68
79,0.6933333333333334,0.6933333333333334,0.6933333333333334
80,0.7066666666666667,0.7066666666666667,0.7066666666666667
81,0.6666666666666666,0.6666666666666666,0.6666666666666666
82,0.7066666666666667,0.7066666666666667,0.7066666666666667
83,0.6533333333333333,0.6533333333333333,0.6533333333333333
84,0.7066666666666667,0.7066666666666667,0.7066666666666667
85,0.7066666666666667,0.7066666666666667,0.7066666666666667
86,0.6933333333333334,0.6933333333333334,0.6933333333333334
87,0.6533333333333333,0.6533333333333333,0.6533333333333333
88,0.64,0.64,0.64
89,0.68,0.68,0.68
90,0.6533333333333333,0.6533333333333333,0.6533333333333333
91,0.6666666666666666,0.6666666666666666,0.6666666666666666
92,0.6533333333333333,0.6533333333333333,0.6533333333333333
93,0.7466666666666667,0.7466666666666667,0.7466666666666667
94,0.6933333333333334,0.6933333333333334,0.6933333333333334
95,0.6533333333333333,0.6533333333333333,0.6533333333333333
96,0.6933333333333334,0.6933333333333334,0.6933333333333334
97,0.7466666666666667,0.7466666666666667,0.7466666666666667
98,0.6266666666666667,0.6266666666666667,0.6266666666666667
99,0.68,0.68,0.68
