checkpoint,precision,recall,F1
1,0.6133333333333333,0.6133333333333333,0.6133333333333333
2,0.64,0.64,0.64
3,0.5466666666666666,0.5466666666666666,0.5466666666666666
4,0.64,0.64,0.64
5,0.6666666666666666,0.6666666666666666,0.6666666666666666
6,0.7066666666666667,0.7066666666666667,0.7066666666666667
7,0.6133333333333333,0.6133333333333333,0.6133333333333333
8,0.56,0.56,0.56
9,0.5866666666666667,0.5866666666666667,0.5866666666666667
10,0.5066666666666667,0.5066666666666667,0.5066666666666667
11,0.6666666666666666,0.6666666666666666,0.6666666666666666
12,0.6266666666666667,0.6266666666666667,0.6266666666666667
13,0.6266666666666667,0.6266666666666667,0.6266666666666667
14,0.6933333333333334,0.6933333333333334,0.6933333333333334
15,0.6533333333333333,0.6533333333333333,0.6533333333333333
16,0.6133333333333333,0.6133333333333333,0.6133333333333333
17,0.6133333333333333,0.6133333333333333,0.6133333333333333
18,0.6266666666666667,0.6266666666666667,0.6266666666666667
19,0.5733333333333334,0.5733333333333334,0.5733333333333334
20,0.6,0.6,0.6
21,0.5733333333333334,0.5733333333333334,0.5733333333333334
22,0.6133333333333333,0.6133333333333333,0.6133333333333333
23,0.6666666666666666,0.6666666666666666,0.6666666666666666
24,0.6266666666666667,0.6266666666666667,0.6266666666666667
25,0.6266666666666667,0.6266666666666667,0.6266666666666667
26,0.6,0.6,0.6
27,0.56,0.56,0.56
28,0.6,0.6,0.6
29,0.6666666666666666,0.6666666666666666,0.6666666666666666
30,0.6133333333333333,0.6133333333333333,0.6133333333333333
31,0.6533333333333333,0.6533333333333333,0.6533333333333333
32,0.6,0.6,0.6
33,0.5733333333333334,0.5733333333333334,0.5733333333333334
34,0.6533333333333333,0.6533333333333333,0.6533333333333333
35,0.5866666666666667,0.5866666666666667,0.5866666666666667
36,0.5066666666666667,0.5066666666666667,0.5066666666666667
37,0.64,0.64,0.64
38,0.6,0.6,0.6
39,0.6,0.6,0.6
40,0.56,0.56,0.56
41,0.6,0.6,0.6
42,0.5866666666666667,0.5866666666666667,0.5866666666666667
43,0.6133333333333333,0.6133333333333333,0.6133333333333333
44,0.6666666666666666,0.6666666666666666,0.6666666666666666
45,0.5733333333333334,0.5733333333333334,0.5733333333333334
46,0.6133333333333333,0.6133333333333333,0.6133333333333333
47,0.6266666666666667,0.6266666666666667,0.6266666666666667
48,0.6,0.6,0.6
49,0.5733333333333334,0.5733333333333334,0.5733333333333334
50,0.5466666666666666,0.5466666666666666,0.5466666666666666
51,0.5733333333333334,0.5733333333333334,0.5733333333333334
52,0.6133333333333333,0.6133333333333333,0.6133333333333333
53,0.6,0.6,0.6
54,0.5733333333333334,0.5733333333333334,0.5733333333333334
55,0.6266666666666667,0.6266666666666667,0.6266666666666667
56,0.6266666666666667,0.6266666666666667,0.6266666666666667
57,0.6,0.6,0.6
58,0.5866666666666667,0.5866666666666667,0.5866666666666667
59,0.6,0.6,0.6
60,0.5733333333333334,0.5733333333333334,0.5733333333333334
61,0.6533333333333333,0.6533333333333333,0.6533333333333333
62,0.6133333333333333,0.6133333333333333,0.6133333333333333
63,0.56,0.56,0.56
64,0.6,0.6,0.6
65,0.6133333333333333,0.6133333333333333,0.6133333333333333
66,0.5866666666666667,0.5866666666666667,0.5866666666666667
67,0.6133333333333333,0.6133333333333333,0.6133333333333333
68,0.5866666666666667,0.5866666666666667,0.5866666666666667
69,0.5466666666666666,0.5466666666666666,0.5466666666666666
70,0.56,0.56,0.56
71,0.49333333333333335,0.49333333333333335,0.4933333333333334
72,0.6133333333333333,0.6133333333333333,0.6133333333333333
73,0.6,0.6,0.6
74,0.5733333333333334,0.5733333333333334,0.5733333333333334
75,0.6133333333333333,0.6133333333333333,0.6133333333333333
76,0.6266666666666667,0.6266666666666667,0.6266666666666667
77,0.6133333333333333,0.6133333333333333,0.6133333333333333
78,0.6266666666666667,0.6266666666666667,0.6266666666666667
79,0.5866666666666667,0.5866666666666667,0.5866666666666667
80,0.56,0.56,0.56
81,0.5466666666666666,0.5466666666666666,0.5466666666666666
82,0.56,0.56,0.56
83,0.5733333333333334,0.5733333333333334,0.5733333333333334
84,0.5733333333333334,0.5733333333333334,0.5733333333333334
85,0.6,0.6,0.6
86,0.5733333333333334,0.5733333333333334,0.5733333333333334
87,0.56,0.56,0.56
88,0.6,0.6,0.6
89,0.64,0.64,0.64
90,0.6133333333333333,0.6133333333333333,0.6133333333333333
91,0.6,0.6,0.6
92,0.5866666666666667,0.5866666666666667,0.5866666666666667
93,0.5333333333333333,0.5333333333333333,0.5333333333333333
94,0.5066666666666667,0.5066666666666667,0.5066666666666667
95,0.6,0.6,0.6
96,0.6133333333333333,0.6133333333333333,0.6133333333333333
97,0.5733333333333334,0.5733333333333334,0.5733333333333334
98,0.6133333333333333,0.6133333333333333,0.6133333333333333
99,0.6266666666666667,0.6266666666666667,0.6266666666666667
