checkpoint,precision,recall,F1
1,0.4897045658012534,0.45636576005339563,0.4724477457246502
2,0.5061905616364615,0.47071583514099785,0.48780909562510805
3,0.5073591001555582,0.4716613827242894,0.48885942409131516
4,0.5185762224352828,0.48133934034150955,0.49926443014971006
5,0.518137196216928,0.48145058123366147,0.4991206573446735
6,0.5225133401283051,0.48473218755214414,0.502914190085983
7,0.5252525252525253,0.48879248011569054,0.5063670411985018
8,0.5227694333074023,0.48590021691973967,0.5036609974055923
9,0.529894560268392,0.49196284554202124,0.51022468345303
10,0.5274514504914889,0.48945992546860223,0.5077460115973805
11,0.5336454769193829,0.49446576561544026,0.5133090825105375
12,0.5297533524904214,0.49218532732632514,0.5102788109448434
13,0.5306965055050263,0.49329773624784473,0.5113141737049955
14,0.5376299127941704,0.5006396351298738,0.5184758503499324
15,0.5355112786453659,0.49780299237999887,0.5159690995042084
16,0.5365371955233706,0.4986372990711386,0.516893450184502
17,0.539691091954023,0.5014183213749375,0.5198512239425656
18,0.5373856912318451,0.500083430669114,0.5180639585133967
19,0.5339642985503774,0.4958006563212637,0.5141752948980476
20,0.5366407650926479,0.49936036487012625,0.5173297991875306
21,0.5402792696025779,0.5035875187719006,0.5212885395975472
22,0.5384109916367981,0.5013070804827855,0.5191969814798814
23,0.542865671641791,0.5057567161688636,0.5236545826254715
24,0.5412531388257802,0.5035318983258246,0.5217115689381934
25,0.5400059577003277,0.5041437232326603,0.5214589805545967
26,,,
