checkpoint,precision,recall,F1
1,0.5021013448607109,0.46515379053340006,0.4829218998123285
2,0.5099209939086907,0.47027087157239,0.4892939814814815
3,0.5164576802507836,0.4765003615328995,0.4956750658142158
4,0.5236859573954499,0.482674231047333,0.5023444283646888
5,0.524800868935554,0.4837310195227766,0.5034297125987671
6,0.5239014968614196,0.48278547193948496,0.5025038353547341
7,0.5254932721897061,0.48439846487568833,0.5041097476267655
8,0.5262174541947927,0.4856221146893598,0.5051054351913454
9,0.5249682990157599,0.4835641581845486,0.503416328894036
10,0.5291593642352088,0.48701262584125926,0.5072119562069165
11,0.5249109245727399,0.4834529172923967,0.5033296658752678
12,0.5294613808892638,0.48879248011569054,0.5083147757179628
13,0.5254951538137379,0.48551087379720786,0.5047123446082683
14,0.535354145281082,0.49313087490961677,0.5133757961783441
15,0.5328343795267987,0.4910172979587296,0.5110718731004139
16,0.5327339648826405,0.4910729184048056,0.511055799953693
17,0.528805592382789,0.4880694143167028,0.5076215543921557
18,0.5360694268667511,0.49474386784582014,0.51457827143353
19,0.5341903554831311,0.4922965682184771,0.5123885608428851
20,0.5345805672902837,0.492685911341009,0.5127789516339114
21,0.5367190794626182,0.4955225540908838,0.5152987448666781
22,0.5333976368459127,0.4921297068802492,0.5119333468336854
23,0.5337626384207992,0.49329773624784473,0.5127330539095244
24,0.5390182125195996,0.4971355470270872,0.517230404212841
25,0.5355807502110722,0.4939651816007564,0.5139318885448916
