checkpoint,precision,recall,F1
1,0.480949257647129,0.44863451804883475,0.46423021582733814
2,0.5106586254254494,0.47566605484175983,0.49254161147267184
3,0.519280205655527,0.48311919461594083,0.5005474557713364
4,0.518116158300006,0.48278547193948496,0.49982724864678096
5,0.5220910017385049,0.48439846487568833,0.502538949798038
6,0.5290133077568637,0.4908504366205017,0.5092178529182655
7,0.5298163765775465,0.492685911341009,0.5105769785002018
8,0.5346338535414166,0.49541131319873183,0.5142758162764514
9,0.5339846559578039,0.4955225540908838,0.5140351383319389
10,0.5361840129721939,0.4965793425663274,0.5156222928097026
11,0.5352154888209555,0.49663496301240334,0.5152039697651607
12,0.532394366197183,0.4940764224929084,0.5125201938610662
13,0.5361330461832975,0.4984704377329106,0.5166162271220637
14,0.5335606604450825,0.4960787585516436,0.5141374837872892
15,0.5400167986561075,0.5006396351298738,0.5195832250988542
16,0.5431654676258992,0.5039212414483564,0.5228079286765343
17,0.5424449233716475,0.5039768618944324,0.5225038203154283
18,0.5443030375795413,0.5043105845708883,0.5235441868522102
19,0.5419636973581741,0.5031981756493688,0.5218620212275034
20,0.5420935945832585,0.5031981756493688,0.52192223376024
21,0.5426156796931192,0.5035318983258246,0.5223437094308052
22,0.5434652636613655,0.5055898548306358,0.5238438265379628
23,0.5438071885652772,0.5057567161688636,0.5240922190201729
24,0.5436829558998808,0.507425329551143,0.5249287954198912
25,0.5450795169197656,0.5070916068746871,0.5253997982999566
