checkpoint,precision,recall,F1
1,0.49090370370370373,0.46075977529339784,0.4753543352269467
2,0.506775228812552,0.4742755436898604,0.48998707082315757
3,0.5137401855817273,0.4803937927582179,0.49650771751315
4,0.5113758189398452,0.4775571500083431,0.49388823377146307
5,0.5217028877642156,0.48734634851771513,0.5039397250819578
6,0.522918280979913,0.4879581734245509,0.5048336977788008
7,0.5273411820952608,0.4907948161744257,0.5084120765153262
8,0.5279236276849641,0.4921297068802492,0.5093986585681798
9,0.5317318035138042,0.49491072918404805,0.5126609627517069
10,0.5257282712511939,0.4898492685911341,0.50715499121822
11,0.5287479849543256,0.492574670448857,0.5100207325501036
12,0.5292993250104534,0.4928527726792369,0.510426267281106
13,0.5319479278633703,0.4954669336448078,0.5130597552195824
14,0.5330070430941865,0.49669058345847933,0.5142083897158322
15,0.5316448152562574,0.49618999944379555,0.5133059063839581
16,0.5321696651971881,0.4968574447967073,0.5139076657557888
17,0.5288570575947479,0.4928527726792369,0.5102205331951403
18,0.5359063209463496,0.49891540130151846,0.5167497191577612
19,0.5358780444232716,0.5005283942377218,0.5176003681122743
20,0.5335803059273423,0.49669058345847933,0.5144750108022469
21,0.538815514253272,0.5014739418210135,0.5194745333026043
22,0.5378688328754032,0.5008621169141777,0.5187062584602978
23,0.5351609058402861,0.4994716057622782,0.5167007106073247
24,0.5419578331242908,0.5046999276934201,0.5226657450607685
25,0.5377645305514158,0.5017520440513933,0.5191344881164757
